First Name,Last Name,University,Categories,Headline,Keywords,Stage,Link
Edward ,Brook,Oregon State University,Alternatives,Extracting Clues from Glacial Ice,"Antarctica, Greenland, ice core, glacier, climate, greenhouse gases",,http://benefunder.org/causes/398/edward-brook
Gustavo Scuseria & Randy Hulet,,Rice University,Alternatives,Collaboration Excites Sustainable Energy Solutions,"theoretical chemistry, quantum chemistry, quantum materials modeling, quantum simulations of molecules, predicting molecular and materials properties, ultracold atoms, optical lattice, superconductivity",,http://benefunder.org/causes/375/gustavo-scuseria-randy-hulet
Lane,Martin,University of Illinois Urbana-Champaign,Alternatives,"Making Smarter, More Efficient Materials ","(multi)functional, oxides, ferroelectric, ferromagnetic, energy, solar, heat, thermal, memory, logic, computers, devices, national security, energy independence, carbon neutral",,http://benefunder.org/causes/228/lane-martin
James ,Gole,Georgia Institute of Technology,Energy Efficiency Technologies,Detecting Chemicals on the Nanoscale,"Nanotechnology, Sensors Interfaces, Catalyst Interfaces, Photocatalysis",,http://benefunder.org/causes/321/james-gole
Carlo ,Segre,Illinois Institute of Technology,Energy Efficiency Technologies,Powering Sustainable Energy Sources,"nanoelectrofuel, EXAFS, XAS, catalysis, in-situ, operando synchrotron radiation, x-ray, spectroscopy, batteries, fuel cells",,http://benefunder.org/causes/100/carlo-segre
Adam,Hock,Illinois Institute of Technology,Energy Efficiency Technologies,Novel Molecules with Atom-like Precision,"Chemistry, materials, energy, catalysis, catalyst, semiconductor, vapor deposition, synthesis, inorganic, photovoltaics",,http://benefunder.org/causes/635/adam-hock
Barath,Raghavan,International Computer Science Institute,Energy Efficiency Technologies,Sustainable Computing,,,http://benefunder.org/causes/165/barath-raghavan
Elza,Erkip,New York University,Energy Efficiency Technologies,Designing New Communication Networks,"Information theory, Wireless networks, Cooperative networking, Interaction in networks, Energy efficient communication networks",,http://benefunder.org/causes/219/elza-erkip
James,Tour,Rice University,Energy Efficiency Technologies,Organic Chemistry as a Vehicle for Affecting Humankind,"Nanotechnology, medicine, materials, environment, energy, water, batteries, supercapacitors, oil and gas, Christianity, Christian, fuel cells",,http://benefunder.org/causes/179/james-tour
Benjamin,Hsiao,Stony Brook University,Energy Efficiency Technologies,Providing Safe and Affordable Water for the Global Community,"Water purification, nanofibers, sustainability, high-flux, low-energy, membranes",,http://benefunder.org/causes/303/benjamin-hsiao
Kara,Kockelman,The University of Texas at Austin,Energy Efficiency Technologies,Securing A Better Future Through Urban Forecasting,,,http://benefunder.org/causes/156/kara-kockelman
Joseph ,Wang,"University of California, San Diego",Energy Efficiency Technologies,Devices at the Nanoscale,"nanomachine, nanotechnology, nanoengineering, sensors, biosensors, monitoring, chemical monitoring",,http://benefunder.org/causes/388/joseph-wang
Shirley,Meng,"University of California, San Diego",Energy Efficiency Technologies,Green Energy Lights the Future,"Energy Storage and Conversion, Batteries for Electric Cars, Smart Grid Energy Storage, Nanomaterials, advanced diagnosis",,http://benefunder.org/causes/314/shirley-meng
Olivia ,Graeve,"University of California, San Diego",Energy Efficiency Technologies,Failsafe Roads and Energy Efficient Vehicles,Materials processing; materials manufacturing; nanoparticles; hydrogen storage; sensor materials,,http://benefunder.org/causes/341/olivia-graeve
Sustainable Power and Energy Center ,,"University of California, San Diego",Energy Efficiency Technologies,Energy Innovation: From Theory to Microgrid,"physics, economics, nanoengineering, energy, chemistry, biochemistry, microgrid",,http://benefunder.org/causes/526/sustainable-power-and-energy-center
Thomas ,Bewley,"University of California, San Diego",Energy Efficiency Technologies,Coordinating Robots for Environmental Sensing and Fun,,,http://benefunder.org/causes/494/thomas-bewley
Tajana,Rosing,"University of California, San Diego",Energy Efficiency Technologies,Energy Efficient Smart Cities,"smart grid, Internet of Things, context-aware computing, mobile SoCs, energy efficiency ",,http://benefunder.org/causes/538/tajana-rosing
Tara,Javidi,"University of California, San Diego",Energy Efficiency Technologies,Optimizing Cyber-Physical Systems,,,http://benefunder.org/causes/195/tara-javidi
Qualcomm Institute,,"University of California, San Diego",Energy Efficiency Technologies,Driving Innovation Forward,"information technology, communications, health, culture, energy, environment, wireless, photonics, cyberinfrastructure, nano, robotics, design",,http://benefunder.org/causes/539/qualcomm-institute
Derek,Lovley,University of Massachusetts Amherst,Energy Efficiency Technologies,The Smallest Organisms Make the Biggest Impact,"electric bacteria, organic waste, microbial fuel cells, microbial electrosynthesis",,http://benefunder.org/causes/158/derek-lovley
Brad,Cardinale,University of Michigan,Energy Efficiency Technologies,Win-Win Scenarios in Conservation,"Environment, nature, conservation, sustainability, sustainable development, biodiversity, biological diversity, ecosystem services, freshwater, streams, lakes, biofuel, energy, water quality, pollution, algae",,http://benefunder.org/causes/108/brad-cardinale
Nicholas,Kotov,University of Michigan,Energy Efficiency Technologies,Increasing Energy Efficiency,"Biomimetic, nanoparticles, composites, self-assembly, self-organization, chirality, energy, chiral, ultrastrong, flexible devices, helixes, polarization devices",,http://benefunder.org/causes/553/nicholas-kotov
Laura,Gagliardi,University of Minnesota,Energy Efficiency Technologies,Computational Modeling Searches for Efficient Energy Sources,"Computational and Theoretical Modelling, Renewable energies, Catalysis, CO2 capture, Actinide chemistry, Quantum chemistry, Environment",,http://benefunder.org/causes/81/laura-gagliardi
Bruce ,Rittmann,Arizona State University,Infrastructure & Resources,Thinking Like Microorganisms,"pollution, health, microbial fuel cells, microorganism",,http://benefunder.org/causes/94/bruce-rittmann
James ,Hansen,Columbia University,Infrastructure & Resources,Understanding Climate Change,"climate science, global warming, energy policies, Earth's climate history, Carbon cycle, Atmosphere and ocean, Carbon free, Equal rights, Atmospheric / Space, Environment",,http://benefunder.org/causes/49/james-hansen
Serena,deBeer,Cornell University,Infrastructure & Resources,Mechanistic Chemistry at the Atomic Level,"metalloenzymes, homogeneous catalysis, heterogeneous catalysis, small molecule activation, energy conversion",,http://benefunder.org/causes/427/serena-debeer
Nicolas ,Cassar,Duke University,Infrastructure & Resources,Studying Environmental Composition,"Environment, atmospheric, space, oceanic, chemical",,http://benefunder.org/causes/106/nicolas-cassar
Michael ,Aziz,Harvard University,Infrastructure & Resources,Attacking the Energy-Environment Problem with Basic Research and Novel Technologies,"Energy Technology, Environmental Preservation, Technology, Batteries, Renewable Energy
",,http://benefunder.org/causes/298/michael-aziz
Anthony,Broccoli,Rutgers University,Infrastructure & Resources,Through the Lens of the Past into Future Climate Conditions,"climate, atmosphere, ocean, earth, modeling",,http://benefunder.org/causes/617/anthony-j-broccoli
Kevin,Lyons,Rutgers University,Infrastructure & Resources,Greening the Supply Chain,"supply chain archaeology, climate change, waste management, green purchasing, green supply chains",,http://benefunder.org/causes/605/kevin-lyons
